,Tickers,Shares
1,KO,398.33453283678006
2,MRK,235.72305579913854
3,BMY,377.3519268809507
4,PEP,174.6608167813869
5,CL,446.5343390340268
6,PG,170.71680979858436
7,SO,191.39524527352492
8,UNH,30.960063618006235
9,PM,300.5068480733496
10,ABBV,201.07791693737218
11,UNP,102.19562810466047
12,MO,354.2137832268569
13,CVS,126.7903458371692
14,LLY,51.04770600569509
15,UPS,121.20819009855335
16,KMI,696.8652088233086
17,ABT,96.12277625691283
18,CSCO,248.3489353570698
19,T,565.249815672684
20,USB,322.3428586455368
21,PFE,203.76211397683016
22,CMCSA,327.2343323250887
23,TXN,133.68615069286278
24,JPM,87.69985860880446
25,NEE,331.13386147439775
